51300012764,egd,134,105
51300097781,ecf,296,10
51300130486,dgf,44,41
51300136979,gcd,43,237
51300139565,ggb,20,156
51300175648,ecb,277,160
51300207032,edc,22,176
51300213345,fdd,77,27
51300235347,dfb,207,7
51300296022,geg,52,211
51300339417,abd,11,12
51300348493,edb,184,248
51300359430,dac,150,170
51300375268,bea,41,158
51300411481,bce,77,258
51300416181,ebg,268,292
51300427178,cga,18,207
51300489229,gae,19,209
51300491704,cbc,79,120
51300509507,bba,259,274
51300557373,faa,259,132
51300596133,ffg,208,229
51300641678,abb,78,177
51300671695,dda,5,247
51300677677,aea,149,284
51300681908,fec,258,206
51300686724,aba,199,286
51300688927,ecd,292,36
51300692070,gce,298,252
51300711928,bba,99,246
51300718630,aae,46,78
51300826372,dbg,67,276
51300855796,acd,166,161
51300919229,bdc,243,113
51300924981,gbg,128,72
51300933713,bbc,62,33
51300941530,bbb,268,279
51300956812,dfb,102,7
51301025454,daa,271,212
51301029866,gee,53,295
51301036954,fca,166,14
51301041873,gdg,174,215
51301054955,afa,105,177
51301099667,dde,12,238
51301127316,agb,213,189
51301139346,dfa,59,109
51301181867,dce,192,147
51301220033,bcb,86,34
51301251032,fbf,1,291
51301262912,beg,135,157
51301277146,ddf,264,47
51301324370,dgb,11,279
51301330948,bgb,72,277
51301333089,ecf,108,8
51301336139,gfd,220,84
51301367042,ccb,175,294
51301407748,aca,295,73
51301427843,cbg,178,253
51301469752,deb,137,50
51301472646,agf,107,83
51301483415,bad,56,273
51301527791,dbf,228,85
51301555652,cbc,274,103
51301603848,efa,147,211
51301615611,aaa,191,146
51301618913,aac,134,170
51301626906,aeg,90,251
51301647223,dad,10,42
51301713500,ccc,153,274
51301768092,cff,142,258
51301795787,dee,61,228
51301812744,beb,197,266
51301843396,abf,46,142
51301853444,cba,114,45
51301861558,efb,39,202
51301891314,cgd,211,199
51301917164,dac,289,156
51301948262,gbc,87,235
51301969450,eae,220,82
51301973172,gdf,175,204
51301975404,gce,233,299
51301980399,bcf,72,220
51301996878,eff,220,238
51301998302,cgb,106,144
51302031586,eaa,43,271
51302055000,eca,157,204
51302073889,cbf,11,205
51302074002,ggc,108,168
51302118030,bed,74,264
51302121085,ebc,174,238
51302133597,eef,211,294
51302135842,afb,50,184
51302152873,fdd,225,26
51302184796,gcd,207,210
51302249682,daf,81,91
51302277820,gbf,212,221
51302288341,aaf,196,245
51302330814,cbg,148,212
51302365331,ebf,212,246
